id;deph;type;type_id;word
1;0;B;0;baran
1;0;B;0;barana
1;0;B;0;baranowi
1;0;B;0;baranem
1;0;B;0;baranie
1;0;B;0;barany
1;0;B;0;baranÛw
1;0;B;0;baranom
1;0;B;0;baranami
1;0;B;0;baranach
1;1;S;1;tryk
1;1;S;1;tryka
1;1;S;1;trykowi
1;1;S;1;trykiem
1;1;S;1;tryku
1;1;S;1;tryki
1;1;S;1;trykÛw
1;1;S;1;trykom
1;1;S;1;trykami
1;1;S;1;trykach
1;1;S;2;ma≥pa
1;1;S;2;ma≥py
1;1;S;2;ma≥pie
1;1;S;2;ma≥pÍ
1;1;S;2;ma≥pπ
1;1;S;2;ma≥po
1;1;S;2;ma≥p
1;1;S;2;ma≥pom
1;1;S;2;ma≥pami
1;1;S;2;ma≥pach
1;1;C;1;baranek
1;1;C;1;baranka
1;1;C;1;barankowi
1;1;C;1;barankiem
1;1;C;1;baranku
1;1;C;1;baranki
1;1;C;1;barankÛw
1;1;C;1;barankom
1;1;C;1;barankami
1;1;C;1;barankach
1;1;C;2;baranina
1;1;C;2;baraniny
1;1;C;2;baraninie
1;1;C;2;baraninÍ
1;1;C;2;baraninπ
1;1;C;2;baranino
1;1;C;3;baranica
1;1;C;3;baranicy
1;1;C;3;baranicÍ
1;1;C;3;baranicπ
1;1;C;3;baranico
1;1;C;3;baranice
1;1;C;3;baranic
1;1;C;3;baranicom
1;1;C;3;baranicami
1;1;C;3;baranicach
1;1;C;4;Baran
1;1;C;4;Barana
1;1;C;4;Baranowi
1;1;C;4;Barana[1]
1;1;C;4;Baranem
1;1;C;4;Baranie
1;1;C;4;".mw-parser-output .potential-form{opacity:0.4;font-weight:normal;cursor:help}.mw-parser-output .potential-form:hover{opacity:inherit}@media print{.mw-parser-output .potential-form{font-style:italic;opacity:inherit}}Barany"
1;1;C;4;BaranÛw
1;1;C;4;Baranom
1;1;C;4;Barany
1;1;C;4;Baranami
1;1;C;4;Baranach
1;1;C;5;zbaranieÊ
1;1;C;6;barani
1;1;C;6;baraniego
1;1;C;6;baraniemu
1;1;C;6;baranim
1;1;C;6;barania
1;1;C;6;baraniej
1;1;C;6;baraniπ
1;1;C;6;baranie
1;1;C;6;baranich
1;1;C;6;baranimi
1;1;C;7;baraninka
1;1;C;8;baranËiatko
1;1;C;9;baranËek
1;1;C;9;baranËek
1;1;C;10;baranËa
1;1;C;11;baranËina
1;1;C;11;baranËina
1;1;C;12;baranec
1;1;C;12;baranec
1;1;C;13;baranidlo
1;1;C;13;baranidlo
