id;deph;type;type_id;word;form;category
1;1;C;1;baranek;rzeczownik;N
1;1;C;2;baranina;rzeczownik;N
1;1;C;3;baranica;rzeczownik;N
1;1;C;7;baraninka;brak odmiany;N
1;1;C;8;baranËiatko;brak odmiany;N
1;1;C;9;baranËek;brak odmiany;N
1;1;C;10;baranËa;brak odmiany;N
1;1;C;11;baranËina;brak odmiany;N
1;1;C;12;baranec;brak odmiany;N
1;1;C;13;baranidlo;brak odmiany;N
1;1;C;14;bar·nok;brak odmiany;N
1;1;C;15;baranÌ;brak odmiany;N
1;1;C;16;baranËÌ;brak odmiany;N
1;2;S;2;accent;brak odmiany;N
1;2;S;3;betoning;brak odmiany;N
1;2;S;4;afa;brak odmiany;N
1;2;S;5;at;rzeczownik;N
1;2;S;9;duchna;rzeczownik;N
1;2;S;10;duchniczka;rzeczownik;N
1;2;S;11;#;rzeczownik;N
1;2;S;12;kszyk;rzeczownik;N
1;2;S;13;kozio≥ek;brak odmiany;N
1;2;S;14;skopowina;brak odmiany;N
1;2;S;16;Ari;brak odmiany;N
1;2;S;17;<U+2648>;brak odmiany;N
1;2;S;18;jahÚa;brak odmiany;N
1;2;C;1;trykaÊ;brak odmiany;N
1;2;C;2;trykke;czasownik;N
1;2;C;3;ma≥piatka;czasownik;N
1;2;C;24;barankowy;przymiotnik;N
1;2;C;31;baranËinov˝;przymiotnik;N
1;2;C;34;baraneczek;przymiotnik;N
1;2;C;41;barankowoúÊ;brak odmiany;N
1;2;C;42;barankowatoúÊ;brak odmiany;N
1;2;C;44;baraniarka;brak odmiany;N
1;2;C;45;baranki;brak odmiany;N
1;2;C;46;baraniucha;brak odmiany;N
1;2;C;48;BaranÛw;brak odmiany;N
1;2;C;49;Baranowo;brak odmiany;N
1;2;C;51;barankowaty;brak odmiany;N
1;2;C;52;baranowski;brak odmiany;N
3;1;S;2;ubÛstwo;rzeczownik;N
3;1;S;3;niedostatek;rzeczownik;N
3;1;S;4;k≥opot;rzeczownik;N
3;1;S;5;problem;rzeczownik;N
3;1;S;6;biedka;rzeczownik;N
3;1;S;7;nedostatok;brak odmiany;N
3;1;S;8;psota;brak odmiany;N
3;1;S;9;n˙dza;brak odmiany;N
3;1;C;2;biedaczek;rzeczownik;N
3;1;C;3;biedaczka;rzeczownik;N
3;1;C;4;biedactwo;rzeczownik;N
3;2;S;1;wielka;przys≥Ûwek;N
3;2;S;3;skrajne;przys≥Ûwek;N
3;2;S;10;ja≥owoúÊ;brak odmiany;N
3;2;S;11;deficyt;rzeczownik;N
