lp;word;category
1;baran;N
2;biadolić;N
3;bieda;N
4;brudas;N
5;burak;N
6;burdel;N
7;bzdura;N
8;cholera;N
9;chuj;N
10;ciapak;N
11;ciota;N
12;cipa;N
13;ciul;N
14;cwel;N
15;cygan;N
16;drań;N
17;drzeć;N
18;dupa;N
19;frajer;N
20;garbaty;N
21;gnida;N
22;gówniak;N
23;gówno;N
24;grubas;N
25;hańba;N
26;huj;N
27;idiota;N
28;jebać;N
29;jebać;N
30;kaczor;N
31;karakan;N
32;katastrofa;N
33;kiep;N
34;kozojebca;N
35;kurwa;N
36;luj;N
37;mamrotać;N
38;matkojebca;N
39;mela;N
40;morda;N
41;murzyn;N
42;paplać;N
43;pedał;N
44;pieprzyć;N
45;pierdel;N
46;pierdolić;N
47;pierdoła;N
48;pizda;N
49;popierdalać;N
50;raban;N
51;samojebka;N
52;sierota;N
53;skurwysyn;N
54;spierdolina;N
55;srać;N
56;suka;N
57;szczać;N
58;szemrać;N
59;walić;N
60;wieprz;N
61;wieśniak;N
62;wpizdu;N
63;wrzód;N
64;wstyd;N
65;wypierdek;N
66;wypiździewo;N
